0.412672 -1.04755 -0.110515 4.63236
0.412672 -1.04755 2.36732 0.0564774
-3.86028 29.1337 -nan -nan
-3.86028 29.1337 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-0.442615 99.8462 0.134368 4.60207
-0.442615 99.8462 -2.36941 0.0691802
-nan -nan -nan -nan
-nan -nan -nan -nan
0.0787086 65.2701 -nan -nan
0.0787086 65.2701 -nan -nan
